78036	gnyis [su]med [pa'i]rdo rje	8.0	odd4;mixed16
75539	chas rtsom pa (chas tsam pa)	8.0	odd4;mixed8
73206	rgyud [shes pa]	8.0	odd4;mixed8
71234	grang (rung ba)	8.0	odd4;mixed8
70775	gam g-yog =gam yo	8.0	odd4;mixed9
70467	'khor lo 'dzin (!!ba	8.0	odd4;mixed8
69905	khyim bdag mo =rigs skyongs ma =rigs kyi ma	8.0	odd4;mixed10
69679	khur mang(sa) =khur mang pa	8.0	odd4;mixed13
69656	khug sta =khug rta khug sna (rna)	8.0	odd4;mixed10
69400	kha du tshva =tshva nag po	8.0	odd4;mixed11
69039	skyo nas <spos nas>	8.0	odd4;mixed9
69031	skyes bus ma byed pa (!!byas pa)	8.0	odd4;mixed10
68857	skye bo dga' (bar) mdzad (pa)	8.0	odd4;mixed9
68821	skye ba lnga pa =dung dkar g-yas 'khyil	8.0	odd4;mixed10
68737	skyin gor <da phyid>	8.0	odd4;mixed9
68658	skon bu <gzhong pa>	8.0	odd4;mixed10
68604	(sku gzugs) ston	8.0	odd4;mixed10
68550	skal pa mnyam par skyes (mi dang!!)	8.0	odd4;mixed10
68378	rkan mi tog (btogs	8.0	odd4;mixed11
68373	rkang lag 'gyus pa(rgyus pa)	8.0	odd4;mixed11
68372	rkang lag 'khums pa ('khrums pa)	8.0	odd4;mixed11
68371	rkang ring ba (rgyang ring ba)	8.0	odd4;mixed10
68313	rkang thang ma (mgon po trakShda ~~)	8.0	odd4;mixed8
68142	bka' btabs =khrims bsgrags pa = bkar btags	8.0	odd4;mixed8
68096	dkyel che ba (=khong yongs pa)	8.0	odd4;mixed10
68093	dkyus mo (=mgyogs pa rgyugs pa)	8.0	odd4;mixed11
68092	dkyus <mgyogs pa>	8.0	odd4;mixed10
68073	dkoog =dkon mchogdkod pa	8.0	odd4;mixed10
67984	kShi ti (khyi ti)	8.0	odd4;mixed8
67925	klu brgyad bcas (rnam sras drag byed 'khor)	8.0	odd4;mixed11
67904	klad rgyas 'thogs pa (thogs pa)	8.0	odd4;mixed9
67878	kru trvug trves	8.0	odd4;mixed10
67821	ko'u di n+ya ('thab ldan ma'i bu)	8.0	odd4;mixed9
67819	ko'u!! =koo!!	8.0	odd4;mixed12
67751	kurma pA dI (phag mo!!)	8.0	odd4;mixed10
67746	kuNDa li (khol po!!)	8.0	odd4;mixed10
67740	kun shes pa them pa byed (thob par byed)	8.0	odd4;mixed10
67702	kun byang=kun nas nyon mongs pa=rnam par byang	8.0	odd4;mixed16
67696	(kun nas)('a)byung ba	8.0	odd4;mixed17
67651	kun tu rab tu 'ur (!!'ur 'ur)	8.0	odd4;mixed10
67650	kun tu rab tu mched ('ched) cing 'bar (ba)	8.0	odd4;mixed11
67594	kun tu btags pa'i mtshan nyid (kun btags)	8.0	odd4;mixed10
67337	kaga =skag =keg	8.0	odd4;mixed9
66874	lha'i bu mtshams ('tshams) bzang (ba)	8.0	odd4;mixed13
66812	lhan cig (tu) skyes (pa)	8.0	odd4;mixed8
66666	lha mo [dung	8.0	odd4;mixed10
66582	lha khang bsrung ba (bsrung mi)	8.0	odd4;mixed10
66527	ha nu ma [nta	8.0	odd4;mixed9
66240	tha na bzhad (gzhad) gad bya bar ~~	8.0	odd4;mixed9
66139	~~'i las kyi(s) bsnyen par rdzogs pa'i dge slong	8.0	odd4;mixed10
65996	(gser gyi) sa le sbram	8.0	odd4;mixed9
65862	[gsar	8.0	odd4;mixed9
65725	slob pa (yang) ma yin mi slob pa (yang) ma yin	8.0	odd4;mixed12
65490	srid [srung	8.0	odd4;mixed13
65237	so sor 'ged pa ('gyed pa)	8.0	odd4;mixed9
65230	so so'i bden pa bstsal ba (btsal ba)	8.0	odd4;mixed9
65063	sems (rnam gsum)	8.0	odd4;mixed10
65016	~~ra ma gzhag (bzhag) pa med pa	8.0	odd4;mixed11
64838	(de) 'di snyam du sems te … snyam mo (nas)	8.0	odd4;mixed9
64731	chu la 'dzub (mdzub) mos ~~	8.0	odd4;mixed9
64673	su kha de bas grub pa thob pa('i gtam rgyud)	8.0	odd4;mixed11
64657	sin dhu('i klu'i rgyal po)	8.0	odd4;mixed9
64417	~~ma 'dres pa bcva brgyad kyi ming la	8.0	odd4;mixed8
64230	sa sgrags ri(s kyi sde)	8.0	odd4;mixed8
64190	bshog pa (gshog pa)	8.0	odd4;mixed9
64115	nyan thos rnams [las	8.0	odd4;mixed8
64068	gshe yang slar mi gshe (bar bya)	8.0	odd4;mixed8
63991	gshags gshog pa (bshog pa)	8.0	odd4;mixed9
63990	gshag gshog pa (bshog pa)	8.0	odd4;mixed9
63792	shes bzhin gyis [brdzun	8.0	odd4;mixed13
63696	(shed bdag) shed las skyes pa	8.0	odd4;mixed10
63681	snam sbyar (shal) nang ~~	8.0	odd4;mixed8
63638	shin tu (legs par) phug	8.0	odd4;mixed9
63637	shin tu (legs par) btags	8.0	odd4;mixed9
63627	shin tu (yongs su) non pa	8.0	odd4;mixed9
63621	(shin tu) yangs pa	8.0	odd4;mixed8
63607	(shin tu) zhi ba	8.0	odd4;mixed8
63581	(shin tu) mang du thos pa	8.0	odd4;mixed8
63549	(shin tu) rnam par gdon mi za	8.0	odd4;mixed8
