# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
གཉིས་མེད་པའི་མཚན་ཉིད	gnyis med pa'i mtshan nyid
གཉིས་མེད་པའི་ཤེས་པ	gnyis med pa'i shes pa
གཉིས་མེད་ཚུལ་སྟོན་མཆོད་སྦྱིན་བཟང	gnyis med tshul ston mchod sbyin bzang
གཉིས་མེད་ཚུལ་སྟོན་འབྲུག་སྒྲའི་མཚན	gnyis med tshul ston 'brug sgra'i mtshan
འབྲུག་སྒྲ	'brug sgra
གཉིས་འཛིན	gnyis 'dzin
གཉིས་ཟུང་དུ་འབྲེལ་བ	gnyis zung du 'brel ba
གཉིས་ལ	gnyis la
གཉིས་ལ་གནས	gnyis la gnas
གཉིས་ལ་གནས་པ	gnyis la gnas pa
གཉིས་བཤེས	gnyis bshes
གཉིས་⟨(su)⟩	gnyis [⟨(su)⟩]
གཉིས་སུ་ག	gnyis su ga
གཉིས་སུ་རྒྱབ་རྟེན་དམར་པོ་⟨(la)⟩་བཞག་པ	gnyis su rgyab rten dmar po [⟨(la)⟩] bzhag pa
གཉིས་སུ་སྤྱོད་པ་མེད་པ	gnyis su spyod pa med pa
གཉིས་སུ་བྱར་མེད་ཅིང	gnyis su byar med cing
གཉིས་སུ་བྱར་མེད་པ	gnyis su byar med pa
གཉིས་སུ་དབྱེ	gnyis su dbye
གཉིས་སུ་མེད་ཅིང	gnyis su med cing
གཉིས་སུ་མེད་པ་མཉམ་པ་ཉིད་རྣམ་པར་རྒྱལ་བ་ཞེས་བྱ་བའི་རྟོག་པའི་རྒྱལ་པོ་ཆེན་པོ	gnyis su med pa mnyam pa nyid rnam par rgyal ba zhes bya ba'i rtog pa'i rgyal po chen po
གཉིས་སུ་མེད་པ་གསུངས་པ	gnyis su med pa gsungs pa
གཉིས་སུ་མེད་པའི་སྐད་ཅིག་མའི་སྦྱོར་བ	gnyis su med pa'i skad cig ma'i sbyor ba
གཉིས་སུ་མེད་པའི་སྤྱོད་པ	gnyis su med pa'i spyod pa
གཉིས་སུ་མེད་པར་གྲུབ་པའི་སྒྲུབ་ཐབས	gnyis su med par grub pa'i sgrub thabs
གཉིས་སུ་མེད་པར་གསུང་བ	gnyis su med par gsung ba
གཉིས་སུ་རབ་ཏུ་ཕྱེ་བའི་རྣམས་སོ་སོ་ཐ་དད་པ་མ་ཡིན	gnyis su rab tu phye ba'i rnams so so tha dad pa ma yin
གཉུག་མར་གནས་པ	gnyug mar gnas pa
གཉ་མ	gnya ma
གཉེན་གྱི་བུ	gnyen gyi bu
གཉེན་གྱིས་འཚོ་བ	gnyen gyis 'tsho ba
གཉེན་ཅན	gnyen can
གཉེན་བཅས	gnyen bcas
གཉེན་ཉེ་བ	gnyen nye ba
གཉེན་མདབ	gnyen mdab
གཉེན་མདབ་ཀྱི་སྐྱེ་བོ	gnyen mdab kyi skye bo
གཉེན་འདབ	gnyen 'dab
གཉེན་འདུན	gnyen 'dun
གཉེན་ལྡན	gnyen ldan
གཉེན་པ	gnyen pa
གཉེན་པས་བསྲུང་བ	gnyen pas bsrung ba
གཉེན་པས་བསྲུངས	gnyen pas bsrungs
གཉེན་པོ་ཐོབ་པས་དངོས་པོར་མི་འགྱུར་བ	gnyen po thob pas dngos por mi 'gyur ba
གཉེན་པོའི་སེམས	gnyen po'i sems
གཉེན་བྱེད་པ	gnyen byed pa
གཉེན་མཚན	gnyen mtshan
གཉེན་རིང་པོ	gnyen ring po
གཉེན་བཤེས་དང་གཉེན	gnyen bshes dang gnyen
གཉེན་བཤེས་སམ་གཉེན	gnyen bshes sam gnyen
གཉེའུ་རེངས	gnye'u rengs
དོན་དུ་མི་གཉེར་ཞིང	don du mi gnyer zhing
དོན་མི་གཉེར	don mi gnyer
གཉེར་འདོད་པ	gnyer 'dod pa
དོན་དུ་⟨~~⟩	don du [⟨~~⟩]
གཉེར་པ	gnyer pa
གཉེར་བའི་ཆོས	gnyer ba'i chos
གཉེར་བར་འདོད་པ	gnyer bar 'dod pa
རང་དོན་⟨~~⟩	rang don [⟨~~⟩]
གཉེར་མ	gnyer ma
གཉེར་མ་དངས	gnyer ma dangs
གཉེར་མ་མང	gnyer ma mang
གཉེར་མ་མང་བ	gnyer ma mang ba
གཉེར་མ་རངས་པ	gnyer ma rangs pa
གཉེལ་བ	gnyel ba
གཉོད	gnyod
གཉོས་ལུགས	gnyos lugs
མགོན་པོ་ཏྲཀྵད་⟨~~⟩	mgon po trak+Shad [⟨~~⟩]
མཉན་ཉེས་པ	mnyan nyes pa
མཉན་ཏེ	mnyan te
མཉན་དུ་མི་རུང་⟨(ba)⟩	mnyan du mi rung [⟨(ba)⟩]
མཉན་དུ་རུང་བ	mnyan du rung ba
མཉན་ནས	mnyan nas
བཅོམ་ལྡན་འདས་ལས་⟨~~⟩	bcom ldan 'das las [⟨~~⟩]
མཉན་པར་གྱིས	mnyan par gyis
མཉན་པར་གྱུར	mnyan par gyur
མཉན་པར་བགྱི	mnyan par bgyi
མཉན་པར་བྱ	mnyan par bya
མཉན་པར་བྱ་བ	mnyan par bya ba
མཉན་པར་བྱོས	mnyan par byos
མཉན་པར་འོས་པ	mnyan par 'os pa
མཉན་བྱ་ཉིད	mnyan bya nyid
མཉན་བྱ་བ་མ་ཡིན	mnyan bya ba ma yin
མཉན་འོས	mnyan 'os
མཉན་ཡོད	mnyan yod
ཐམས་ཅད་བདག་བཞིན་བདེ་བ་འདོད་མཉམ་གཅིག	thams cad bdag bzhin bde ba 'dod mnyam gcig
མཉམ་དཀར	mnyam dkar
མཉམ་སྐྱེས	mnyam skyes
མཉམ་འཇོག་གཟུགས་ཅན	mnyam 'jog gzugs can
མཉམ་རྗེས	mnyam rjes
ཇརེས་ཐོབ་ཡེ་ཤེས	jares thob ye shes
མཉམ་ཉིད་དཔེ	mnyam nyid dpe
མཉམ་ཉིད་གཞིའི་སྒྲོན་མ	mnyam nyid gzhi'i sgron ma
མཉམ་ཉིད་ཡེ་ཤེས	mnyam nyid ye shes
མཉམ་མཉམ	mnyam mnyam
མཉམ་ལྟ	mnyam lta
མཉམ་གནས	mnyam gnas
ན་⟨~~⟩	na [⟨~~⟩]
མཉམ་པ་བརྗོད་པ	mnyam pa brjod pa
མཉམ་པ་ཉིད་ཡོན་ཏན་གྱི་མཚན་མ	mnyam pa nyid yon tan gyi mtshan ma
མཉམ་པ་མེད་པའི་ཤེས་རབ	mnyam pa med pa'i shes rab
མཉམ་པའི་རྡོ་རྗེ	mnyam pa'i rdo rje
མཉམ་པའི་གཟི་བརྗིད	mnyam pa'i gzi brjid
མཉམ་པར་མ་གཞག་པ	mnyam par ma gzhag pa
མཉམ་པར་མྱ་ངན་འདས	mnyam par mya ngan 'das
མཉམ་པར་གཞག	mnyam par gzhag
མཉམ་པར་གཞག་ཕྱིར	mnyam par gzhag phyir
མཉམ་པར་གཞོག་སྟེ	mnyam par gzhog ste
མཉམ་པར་བཞག་⟨na(s)⟩	mnyam par bzhag [⟨na(s)⟩]
མཉམ་པར་བཞག་པ་བདག་ཉིད	mnyam par bzhag pa bdag nyid
མཉམ་པར་བཞག་པའི་བདེ་བ	mnyam par bzhag pa'i bde ba
མཉམ་པར་བཞག་པའི་རིམ་པའི་མན་ངག	mnyam par bzhag pa'i rim pa'i man ngag
མཉམ་པར་བཞག་པའི་སེམས	mnyam par bzhag pa'i sems
མཉམ་པར་ཟུང་དུ་འཇུག་པ་ལགས	mnyam par zung du 'jug pa lags
མཉམ་བྱེད	mnyam byed
མཉམ་བྲལ	mnyam bral
མཉམ་བཞག་བདག་ཉིད	mnyam bzhag bdag nyid
མཉམ་བཞག་མིན་པ	mnyam bzhag min pa
མཉམ་བཞག་ལུས	mnyam bzhag lus
མཉམ་གཟུང	mnyam gzung
མཉུང་⟨(smyung)⟩	mnyung [⟨(smyung)⟩]
མཉེ་མཉེད་པ	mnye mnyed pa
མི་མཉེ་འོ	mi mnye 'o
མཉེ་བ	mnye ba
མཉེ་བཞིན་པ	mnye bzhin pa
མཉེད་པ	mnyed pa
མཉེན་པར་བྱེད་པ	mnyen par byed pa
མཉེན་པོ	mnyen po
མཉེལ	mnyel
མཉེས་མཉེད་པ	mnyes mnyed pa
མཉེས་པར་བྱ་བ	mnyes par bya ba
མཉེས་པར་བྱས	mnyes par byas
མཉེས་པར་བྱེད་ཅིང	mnyes par byed cing
མཉེས་པར་བྱེད་པ	mnyes par byed pa
མཉེས་བྱེད	mnyes byed
མཉེས་བྱེད་མ	mnyes byed ma
མཉེས་གཤིན	mnyes gshin
མཉེས་གཤིན་པ	mnyes gshin pa
རྙས་བྱེད་པ	rnyas byed pa
རྙི	rnyi
རྙིངས་རྒན་པོ	rnyings rgan po
རྙིངས་པ	rnyings pa
རྙིད་པ	rnyid pa
རྙིད་པར་གྱུར་ནས	rnyid par gyur nas
རྙིལ	rnyil
རྙིས་པ	rnyis pa
རྙེད་དཀའ་བ	rnyed dka' ba
རྙེད་གྱུར	rnyed gyur
རྙེད་དེ	rnyed de
རྙེད་ལྡན	rnyed ldan
རྙེད་ན	rnyed na
རྙེད་པ་ཅན	rnyed pa can
རྙེད་པ་དང་བཀུར་སྟིའི་མི་གཙང་བ	rnyed pa dang bkur sti'i mi gtsang ba
རྙེད་པ་ན	rnyed pa na
རྙེད་པ་བླ་ན་མེད་པ	rnyed pa bla na med pa
རྙེད་པ་མེད	rnyed pa med
རྙེད་པར་དཀའ	rnyed par dka'
རྙེད་པར	rnyed par
རྙེད་པར་བགྱི	rnyed par bgyi
རྙེད་པར་ཤིན་ཏུ་དཀའ	rnyed par shin tu dka'
རྙེད་པར་ཤོག	rnyed par shog
རྙེད་པར་སླ་བ	rnyed par sla ba
རྙེད་པར་སླ་བའི་རྣམ་པ	rnyed par sla ba'i rnam pa
རྙེད་པས་རྙེད་པ་སྒྲུབ་⟨(bsgrub)⟩་པ	rnyed pas rnyed pa sgrub [⟨(bsgrub)⟩] pa
རྙེད་པས་རྙེད་པར་བྱེད་འདོད་པ	rnyed pas rnyed par byed 'dod pa
རྙེད་མ་ཡིན	rnyed ma yin
རྙེད་མང	rnyed mang
རྙེད་མི་དཀའ	rnyed mi dka'
རྙེད་ཤིན་ཏུ་དཀའ	rnyed shin tu dka'
རྙེད་སླ་བ	rnyed sla ba
རྙོག་དང་བཅས་པ	rnyog dang bcas pa
རྙོག་དང་བཅས་པའི་སེམས	rnyog dang bcas pa'i sems
རྙོག་པ་ཅན	rnyog pa can
རྙོག་པ་དང་བྲལ་བ	rnyog pa dang bral ba
རྙོག་པ་དུས་ཀྱི་ཐ་མ	rnyog pa dus kyi tha ma
རྙོག་པ་མེད་དོན	rnyog pa med don
རྙོག་པ་མེད་པ་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་འགྲེལ་པ	rnyog pa med pa zhes bya ba'i rgyud kyi 'grel pa
རྙོག་པ་མེད་པའི་རྒྱུད	rnyog pa med pa'i rgyud
རྙོག་པ་མེད་པའི་དོན	rnyog pa med pa'i don
རྙོག་མི་བྱ	rnyog mi bya
རྙོག་མེད་པ	rnyog med pa
རྙོགས་པ	rnyogs pa
རྙོགས་པ་ཅན	rnyogs pa can
རྙོགས་པ་མེད	rnyogs pa med
རྙོང	rnyong
རྙོང་བ	rnyong ba
རྙོངས	rnyongs
རྙོངས་པ	rnyongs pa
སྙགས་བདག	snyags bdag
སྙད	snyad
སྙད་འདོགས་པ	snyad 'dogs pa
སྙད་པ	snyad pa
མགུལ་བ་སྙན་པར་བྱེད	mgul ba snyan par byed
མི་སྙན་བརྗོད་པ	mi snyan brjod pa
མི་སྙན་སྨྲ་བ	mi snyan smra ba
སྙན་གྱི་གོང་རྒྱན	snyan gyi gong rgyan
སྙན་གྱི་དབང་པོ་མ་ཉམས་པ	snyan gyi dbang po ma nyams pa
སྙན་གྲགས་དགྱེས	snyan grags dgyes
སྙན་གྲགས་ཅན	snyan grags can
སྙན་རྒྱན	snyan rgyan
སྙན་བརྒྱུད་རྡོ་རྗེའི་ཚིག་རྐང	snyan brgyud rdo rje'i tshig rkang
སྙན་ངག	snyan ngag
སྙན་ངག་མཁན	snyan ngag mkhan
སྙན་ངག་མཁན་པོ	snyan ngag mkhan po
སྙན་ངག་མཁས་དབང	snyan ngag mkhas dbang
སྙན་ངག་གི་རྒྱུ	snyan ngag gi rgyu
སྙན་ངག་གི་དབྱེ་བ	snyan ngag gi dbye ba
སྙན་ངག་གི་མཚན་མ	snyan ngag gi mtshan ma
སྙན་ངག་བསྔགས་པ	snyan ngag bsngags pa
སྙན་ངག་ཆེའི་མཚན་མ	snyan ngag che'i mtshan ma
སྙན་ངག་མེ་ལོང	snyan ngag me long
སྙན་ཅིང་ཕྲ་བ	snyan cing phra ba
སྙན་འཇེབས་པོ	snyan 'jebs po
སྙན་བརྗོད	snyan brjod
སྙན་མཉམ་པ	snyan mnyam pa
སྙན་དང་གྲགས	snyan dang grags
སྙན་པ་ཉིད་ཡོན་ཏན་གྱི་མཚན་མ	snyan pa nyid yon tan gyi mtshan ma
སྙན་པ་ཏོག	snyan pa tog
སྙན་པའི་ཚིག	snyan pa'i tshig
སྙན་པར་གྲགས་⟨(pa)⟩	snyan par grags [⟨(pa)⟩]
སྙན་པར་བརྗོད་པ	snyan par brjod pa
སྙན་པར་བྱེད	snyan par byed
སྙན་པར་སྨྲ	snyan par smra
སྙན་པར་གསུང་བ	snyan par gsung ba
འཇམ་ཞིང་⟨~~⟩	'jam zhing [⟨~~⟩]
སྙན་སྨྲ་བ	snyan smra ba
སྙན་ཚིག	snyan tshig
སྙན་ཚིག་གི་རིག་བྱེད	snyan tshig gi rig byed
སྙན་ཚིག་བྱུང	snyan tshig byung
སྙན་ཞིང་⟨(cing)⟩་འཇེབས་པ	snyan zhing [⟨(cing)⟩] 'jebs pa
སྙན་ཤལ	snyan shal
སྙན་ཤལ་སྟུག་ཅིང་རིང་བ	snyan shal stug cing ring ba
སྙན་གསན་འབེབས་པ	snyan gsan 'bebs pa
དེ་སྙམ་བསམ་པ	de snyam bsam pa
འདི་སྙམ་ཡོངས་སུ་སེམས	'di snyam yongs su sems
འདི་སྙམ་སེམས་པར་འགྱུར	'di snyam sems par 'gyur
སེམས་ཀྱི་རྣམ་པར་རྟོག་པ་སྐྱེས་ཏེ་སྙམ་མོ	sems kyi rnam par rtog pa skyes te snyam mo
སྙམ་སྟེ	snyam ste
ཀུན་མཁྱེན་ཡེ་ཤེས་ལ་ནི་སེམས་གྲོལ་ཞིང་རི་འམ་མི་རི་སྙམ་དུ་བདག་ལ་དཔོག	kun mkhyen ye shes la ni sems grol zhing ri 'am mi ri snyam du bdag la dpog
ཁྱོད་འདི་སྙམ་དུ་སྙམ་དུ་མ་སེམས་ཤིག	khyod 'di snyam du snyam du ma sems shig
དགོངས་པ་སྙམ་དུ་དགོངས་⟨na(s)⟩	dgongs pa snyam du dgongs [⟨na(s)⟩]
དེ་དག་འདི་སྙམ་དུ་སྙམ་དུ་སེམས་སོ	de dag 'di snyam du snyam du sems so
དེ་འདི་སྙམ་དུ་སྙམ་དུ་སེམས་སམ་གསོལ་པ	de 'di snyam du snyam du sems sam gsol pa
དེ་འདི་སྙམ་དུ་སྙམ་མོ	de 'di snyam du snyam mo
དེ་འདི་སྙམ་དུ་སེམས་ཏེ་སྙམ་ནས	de 'di snyam du sems te snyam nas
དེ་འདི་སྙམ་དུ་སེམས་ཏེ་སྙམ་མོ	de 'di snyam du sems te snyam mo
དེ་འདིར་ང་དང་ང་ཡི་སྙམ་དུ་འགྱུར་བ་མེད	de 'dir nga dang nga yi snyam du 'gyur ba med
འདི་ཇི་སྙམ་དུ་སེམས	'di ji snyam du sems
འདི་སྙམ་དུ་སྙམ་དུ་སེམས་བསྐྱེད་ན	'di snyam du snyam du sems bskyed na
འདི་སྙམ་དུ་སྙམ་དུ་སེམས་བསྐྱེད་པར་བྱའོ	'di snyam du snyam du sems bskyed par bya'o
འདི་སྙམ་དུ་སེམས་ཏེ	'di snyam du sems te
འདི་སྙམ་དུ་སེམས་ཏེ་སྙམ་མོ	'di snyam du sems te snyam mo
སྙམ་དུ་དགོངས་⟨(pa)⟩	snyam du dgongs [⟨(pa)⟩]
སྙམ་དུ་ཉམ་ང་བར་གྱུར་ནས	snyam du nyam nga bar gyur nas
སྙམ་དུ་བརྟག་པར་བྱ	snyam du brtag par bya
སྙམ་དུ་མ་སེམས་ཤིག	snyam du ma sems shig
སྙམ་དུ་ཤེས	snyam du shes
སྙམ་དུ་བསམ་པ་དེ་སེམས་ཤིང	snyam du bsam pa de sems shing
སྙམ་དུ་བསམས་ནས	snyam du bsams nas
སྙམ་ནས	snyam nas
དེ་འདི་སྙམ་དུ་སེམས་ཏེ་⟨~~⟩	de 'di snyam du sems te [⟨~~⟩]
སེམས་བསྐྱེད་པར་⟨(skyes⟩་⟨par)⟩་གྱུར་ཏོ་⟨~~⟩	sems bskyed par [⟨(skyes⟩] [⟨par)⟩] gyur to [⟨~~⟩]
བསམ་ན་⟨~~⟩	bsam na [⟨~~⟩]
སྙམ་ནས་ལངས་ཏེ	snyam nas langs te
ཐུགས་ལམ་ན་⟨~~⟩	thugs lam na [⟨~~⟩]
བསམ་པ་⟨~~⟩་⟨(na⟩། ⟨nas)⟩	bsam pa [⟨~~⟩] [⟨(na⟩]/[ ⟨nas)⟩]
སྙམ་པ་ལ	snyam pa la
སྙམས་པ	snyams pa
སྙི་བོ	snyi bo
སྙི་མ	snyi ma
སྙིགས་མ་ལྔའི་མིང་ལ	snyigs ma lnga'i ming la
སྙིགས་མ་ཐམས་ཅད་སེལ་བ	snyigs ma thams cad sel ba
སྙིགས་མ་མེད་པ	snyigs ma med pa
སྙིགས་མའི་དུས	snyigs ma'i dus
སྙིང་ཀུ་⟨(khu)⟩	snying ku [⟨(khu)⟩]
སྙིང་ག	snying ga
སྙིང་གི་དུག་སྦྱོང་བ	snying gi dug sbyong ba
སྙིང་གི་གསེར་ཐིག་ཅན	snying gi gser thig can
དཔལ་མོ་⟨~~⟩	dpal mo [⟨~~⟩]
སྙིང་གྲོགས	snying grogs
སྙིང་དགའ་བ	snying dga' ba
སྙིང་སྔངས་ཏེ	snying sngangs te
སྙིང་རྗེ་ཁྲོས་པའི་སྒྲུབ་ཐབས	snying rje khros pa'i sgrub thabs
སྙིང་རྗེ་བསྒོམ་པའི་བྱིན་རླབས	snying rje bsgom pa'i byin rlabs
སྙིང་རྗེ་ཆེ	snying rje che
སྙིང་རྗེ་ཆེ་བ	snying rje che ba
