acip_input_code,gmr_reading,occurrences,courses,differs_from_plain_strip
ka#lidevi#,kalidevi,1,TCS16KaliWang,no
vasham%kara,vashankara,1,TCS16KaliWang,yes
a#kars%a,akarshaya,1,TCS16KaliWang,yes
mamo,mamo,1,TCS16KaliWang,no
nagmo,nakmo,1,TCS16KaliWang,yes
udga,udga,1,TCS16KaliWang,no
e,eh,1,TCS16KaliWang,yes
hya,hya,1,TCS16KaliWang,no
ho,hoh,1,TCS16KaliWang,yes
a#yu,ayu,1,TCS16KaliWang,no
amaran%i,amarani,1,TCS16KaliWang,no
ji#vantiye,jivantiye,1,TCS16KaliWang,no
a#ves*aya,aveshaa,1,TCS16KaliWang,yes
om$%,om,1,TCS16KaliWang,yes
mu,muh,1,TCS16KaliWang,yes
